player;nacionalidad;position;equipo;edad;nacimiento;partidos_jugados;titular;minutes_played;noventas_jugados;goles;asistencias;goles_mas_asist;goles_sin_penal;penales_convertidos;penales_intentados;amarillas;rojas;goles_asist_sin_penal_p90;tiros;tiros_al_arco;pct_tiros_al_arco;tiros_p90;tiros_arco_p90;goles_por_tiro;goles_por_tiro_al_arco;goles_recibidos;goles_recibidos_p90;tiros_al_arco_recibidos;atajadas;pct_atajadas;partidos_ganados_gk;empatados_gk;perdidos_gk;vallas_invictas;pct_vallas_invictas;penales_recibidos_gk;penales_atajados;penales_errados_rival;doble_amarilla;faltas_cometidas;faltas_recibidas;offsides;centros;intercepciones;entradas_ganadas;penales_ganados;penales_concedidos;goles_en_contra;goles_p90;asistencias_p90;tiros_p90_calc;intercepciones_p90;entradas_p90;centros_p90;faltas_p90
Facundo Pimienta;ar ARG;FW;Atlé Tucumán;23-031;2003,0;1;0;10;0,1;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;1;0;1;;;0;0,0;0,0;0,0;0,0;10,0;10,0;0,0
Facundo Sanguinetti;ar ARG;GK;Banfield;25-169;2001,0;20;20;1800;20,0;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;24,0;1,2;106,0;82,0;77,4;6,0;4,0;10,0;5,0;25,0;2,0;0,0;0,0;0;0;4;0;0;0;0;;;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Facundo Suárez;ar ARG;FW;Instituto;32-047;1994,0;3;0;56;0,6;1;0;1;1;0;0;0;0;1,61;2;2;100,0;3,21;3,21;0,5;0,5;;;;;;;;;;;;;;0;2;1;1;1;0;0;;;0;1,667;0,0;3,333;0,0;0,0;1,667;3,333
Facundo Sánchez;ar ARG;MF;Lanús;21-010;2005,0;4;3;192;2,1;0;0;0;0;0;0;0;0;0,0;2;1;50,0;0,94;0,47;0,0;0,0;;;;;;;;;;;;;;0;4;0;0;2;3;0;;;0;0,0;0,0;0,952;1,429;0,0;0,952;1,905
Facundo Valdéz;ar ARG;MF;Independiente;20-129;2006,0;7;1;177;2,0;0;0;0;0;0;0;0;0;0,0;2;0;0,0;1,02;0,0;0,0;;;;;;;;;;;;;;;0;3;0;0;5;0;2;;;0;0,0;0,0;1,0;0,0;1,0;2,5;1,5
Facundo Waller;uy URU;MF;Huracán;29-130;1997,0;16;13;1145;12,7;1;0;1;1;0;0;4;0;0,08;9;3;33,3;0,71;0,24;0,11;0,33;;;;;;;;;;;;;;0;28;30;0;14;19;25;;;0;0,079;0,0;0,709;1,496;1,969;1,102;2,205
Facundo Zabala;ar ARG;DF;Independiente;27-227;1999,0;18;17;1497;16,6;0;1;1;0;0;0;5;0;0,06;15;3;20,0;0,9;0,18;0,0;0,0;;;;;;;;;;;;;;0;31;16;4;62;25;27;;;0;0,0;0,06;0,904;1,506;1,627;3,735;1,867
Fausto Vera;ar ARG;MF;River Plate;26-144;2000,0;16;14;1172;13,0;0;0;0;0;0;0;3;1;0,0;28;5;17,9;2,15;0,38;0,0;0,0;;;;;;;;;;;;;;0;20;5;0;10;7;21;;;0;0,0;0,0;2,154;0,538;1,615;0,769;1,538
Federico Anselmo;ar ARG;FW;Banfield;32-122;1994,0;7;0;105;1,2;0;0;0;0;0;0;0;0;0,0;8;0;0,0;6,86;0,0;0,0;;;;;;;;;;;;;;;0;5;1;1;1;0;1;;;0;0,0;0,0;6,667;0,0;0,833;0,833;4,167
Federico Fattori;ar ARG;MF;Arg Juniors;34-026;1992,0;16;16;1363;15,1;0;0;0;0;0;0;2;0;0,0;6;2;33,3;0,4;0,13;0,0;0,0;;;;;;;;;;;;;;0;13;16;0;9;22;13;;;0;0,0;0,0;0,397;1,457;0,861;0,596;0,861
Federico Fattori;ar ARG;MF;Talleres–C;34-026;1992,0;4;4;334;3,7;0;0;0;0;0;0;3;0;0,0;1;0;0,0;0,27;0,0;0,0;;;;;;;;;;;;;;;0;9;1;0;0;6;6;;;0;0,0;0,0;0,27;1,622;1,622;0,0;2,432
Federico Gino;uy URU;MF;Aldosivi;33-172;1993,0;13;12;1026;11,4;2;0;2;1;1;1;6;0;0,09;16;3;18,8;1,4;0,26;0,12;0,5;;;;;;;;;;;;;;0;21;10;1;5;8;11;;;0;0,175;0,0;1,404;0,702;0,965;0,439;1,842
Federico Laurelli;ar ARG;MFDF;Aldosivi;22-038;2004,0;4;3;240;2,7;0;0;0;0;0;0;1;0;0,0;1;0;0,0;0,37;0,0;0,0;;;;;;;;;;;;;;;0;2;2;0;9;2;4;;;0;0,0;0,0;0,37;0,741;1,481;3,333;0,741
Federico Mancuello;ar ARG;DFFW;Independiente;37-144;1989,0;1;0;7;0,1;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Federico Medina;ar ARG;FW;Banfield;22-182;2004,0;2;1;109;1,2;0;0;0;0;0;0;0;0;0,0;1;1;100,0;0,83;0,83;0,0;0,0;;;;;;;;;;;;;;0;3;2;1;2;1;2;;;0;0,0;0,0;0,833;0,833;1,667;1,667;2,5
Federico Navarro;ar ARG;MF;Rosario Central;26-161;2000,0;15;3;434;4,8;0;0;0;0;0;0;2;0;0,0;1;0;0,0;0,21;0,0;0,0;;;;;;;;;;;;;;;0;7;2;0;0;4;10;;;0;0,0;0,0;0,208;0,833;2,083;0,0;1,458
Federico Ricca;uy URU;DFMF;Belgrano;31-259;1994,0;9;9;663;7,4;0;0;0;0;0;0;1;1;0,0;4;0;0,0;0,54;0,0;0,0;;;;;;;;;;;;;;;0;6;6;1;12;8;6;;;0;0,0;0,0;0,541;1,081;0,811;1,622;0,811
Federico Rodriguez;;MF;C. Córdoba–SdE;;;1;0;4;0,0;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;0;;;;;;;
Federico Vera;ar ARG;DF;Huracán;28-146;1998,0;6;5;450;5,0;0;0;0;0;0;0;1;0;0,0;1;0;0,0;0,2;0,0;0,0;;;;;;;;;;;;;;;0;9;7;0;13;9;8;;;0;0,0;0,0;0,2;1,8;1,6;2,6;1,8
Federico Zaracho;ar ARG;MFFW;Racing Club;28-160;1998,0;17;7;746;8,3;2;0;2;2;0;0;2;0;0,24;13;3;23,1;1,57;0,36;0,15;0,67;;;;;;;;;;;;;;0;11;7;2;9;8;10;;;0;0,241;0,0;1,566;0,964;1,205;1,084;1,325
Federico Álvarez;ar ARG;DF;Tigre;32-010;1994,0;18;15;1357;15,1;0;1;1;0;0;0;2;0;0,07;15;1;6,7;0,99;0,07;0,0;0,0;;;;;;;;;;;;;;0;11;18;1;61;28;24;;;0;0,0;0,066;0,993;1,854;1,589;4,04;0,728
Felipe Anso;ar ARG;MF;Aldosivi;19-162;2007,0;4;4;299;3,3;1;0;1;1;0;0;1;0;0,3;3;1;33,3;0,9;0,3;0,33;1,0;;;;;;;;;;;;;;0;7;1;1;7;2;1;;;0;0,303;0,0;0,909;0,606;0,303;2,121;2,121
Felipe Bussio;ar ARG;MF;Platense;22-062;2004,0;11;6;506;5,6;0;0;0;0;0;0;2;0;0,0;2;0;0,0;0,36;0,0;0,0;;;;;;;;;;;;;;;0;11;0;0;4;13;7;;;0;0,0;0,0;0,357;2,321;1,25;0,714;1,964
Felipe Peña;ar ARG;MF;Lanús;25-134;2001,0;19;9;921;10,2;1;0;1;1;0;0;1;0;0,1;15;5;33,3;1,47;0,49;0,07;0,2;;;;;;;;;;;;;;0;8;6;0;2;13;23;;;0;0,098;0,0;1,471;1,275;2,255;0,196;0,784
Felipe Tempone;ar ARG;FW;Independiente;20-195;2006,0;4;0;34;0,4;0;1;1;0;0;0;0;0;2,65;1;0;0,0;2,65;0,0;0,0;;;;;;;;;;;;;;;0;0;0;2;0;0;1;;;0;0,0;2,5;2,5;0,0;2,5;0,0;0,0
Felipe Zenobio;ar ARG;GK;Tigre;26-087;2000,0;19;19;1710;19,0;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;15,0;0,79;59,0;44,0;74,6;6,0;9,0;4,0;6,0;31,6;1,0;0,0;0,0;0;0;3;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Fermín Antonini;ar ARG;MF;Gimnasia–M;29-046;1997,0;16;14;1091;12,1;0;1;1;0;0;0;5;0;0,08;10;2;20,0;0,82;0,16;0,0;0,0;;;;;;;;;;;;;;0;26;24;0;4;15;22;;;0;0,0;0,083;0,826;1,24;1,818;0,331;2,149
Fernando Alarcón;ar ARG;DF;Instituto;32-062;1994,0;18;17;1530;17,0;1;0;1;1;0;0;8;0;0,06;15;5;33,3;0,88;0,29;0,07;0,2;;;;;;;;;;;;;;0;26;8;0;1;29;27;;;0;0,059;0,0;0,882;1,706;1,588;0,059;1,529
Fernando Bersano;ar ARG;DFMF;Estudiantes–RC;28-226;1998,0;1;0;19;0,2;0;0;0;0;0;0;0;0;0,0;1;0;0,0;4,74;0,0;0,0;;;;;;;;;;;;;;;0;1;0;0;3;0;0;;;0;0,0;0,0;5,0;0,0;0,0;15,0;5,0
Fernando Juárez;ar ARG;MF;C. Córdoba–SdE;27-359;1998,0;4;3;315;3,5;0;0;0;0;0;0;1;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;6;9;0;1;6;4;;;0;0,0;0,0;0,0;1,714;1,143;0,286;1,714
Fernando Martínez;ar ARG;MFDF;C. Córdoba–SdE;26-021;2000,0;19;11;1017;11,3;1;0;1;1;0;0;3;0;0,09;5;2;40,0;0,44;0,18;0,2;0,5;;;;;;;;;;;;;;0;13;6;2;31;12;22;;;0;0,088;0,0;0,442;1,062;1,947;2,743;1,15
Fernando Muslera;uy URU;GK;Estudiantes–LP;40-062;1986,0;14;14;1215;13,5;0;0;0;0;0;0;1;0;0,0;0;0;;0,0;0,0;;;7,0;0,52;41,0;33,0;82,9;8,0;3,0;3,0;8,0;57,1;0,0;1,0;0,0;0;0;3;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Fernando Rodríguez;ar ARG;DF;Estudiantes–RC;25-316;2000,0;1;0;23;0,3;0;0;0;0;0;0;0;0;0,0;1;0;0,0;3,91;0,0;0,0;;;;;;;;;;;;;;;0;2;0;0;1;0;2;;;0;0,0;0,0;3,333;0,0;6,667;3,333;6,667
Fernando Román;py PAR;DF;Aldosivi;27-270;1998,0;15;11;1030;11,4;0;1;1;0;0;0;3;0;0,09;3;0;0,0;0,26;0,0;0,0;;;;;;;;;;;;;;;0;15;9;0;43;18;21;;;0;0,0;0,088;0,263;1,579;1,842;3,772;1,316
Fernando Román;py PAR;DF;Defensa;27-270;1998,0;4;1;149;1,7;1;0;1;1;0;0;2;0;0,6;3;1;33,3;1,81;0,6;0,33;1,0;;;;;;;;;;;;;;0;4;1;1;7;3;5;;;0;0,588;0,0;1,765;1,765;2,941;4,118;2,353
Fernando Tobio;ar ARG;DF;Barracas Central;36-303;1989,0;16;15;1365;15,2;2;0;2;2;0;0;0;0;0,13;7;3;42,9;0,46;0,2;0,29;0,67;;;;;;;;;;;;;;0;3;3;0;1;11;9;;;0;0,132;0,0;0,461;0,724;0,592;0,066;0,197
Florián Monzón;ar ARG;FW;Vélez Sarsfield;25-226;2001,0;15;14;1130;12,6;6;0;6;5;1;1;3;0;0,4;29;17;58,6;2,31;1,35;0,2;0,33;;;;;;;;;;;;;;0;22;10;7;5;3;7;;;0;0,476;0,0;2,302;0,238;0,556;0,397;1,746
Francesco Lo Celso;ar ARG;MF;Estudiantes–RC;26-165;2000,0;2;0;6;0,1;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Francisco Galván;ar ARG;FW;Estudiantes–RC;27-032;1999,0;1;0;7;0,1;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Francisco González;ar ARG;MFFW;Belgrano;29-141;1997,0;14;7;656;7,3;3;0;3;3;0;0;0;0;0,41;16;4;25,0;2,2;0,55;0,19;0,75;;;;;;;;;;;;;;0;7;13;1;10;8;16;;;0;0,411;0,0;2,192;1,096;2,192;1,37;0,959
Francisco Ortega;ar ARG;DF;River Plate;27-151;1999,0;2;2;180;2,0;0;0;0;0;0;0;0;0;0,0;1;1;100,0;0,5;0,5;0,0;0,0;;;;;;;;;;;;;;0;2;2;0;7;1;2;;;0;0,0;0,0;0,5;0,5;1,0;3,5;1,0
Francisco Perruzzi;ar ARG;MF;Aldosivi;24-349;2001,0;1;0;24;0,3;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;2;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;6,667
Francisco Perruzzi;ar ARG;MF;CA San Lorenzo;24-349;2001,0;4;0;33;0,4;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;1;0;0;1;1;;;0;0,0;0,0;0,0;2,5;2,5;0,0;2,5
Francisco Romero;ar ARG;MF;Estudiantes–RC;27-162;1999,0;14;12;1073;11,9;0;0;0;0;0;0;1;0;0,0;3;0;0,0;0,25;0,0;0,0;;;;;;;;;;;;;;;0;8;9;0;32;26;12;;;0;0,0;0,0;0,252;2,185;1,008;2,689;0,672
Francisco Scarpeccio;ar ARG;FW;Newell's;20-207;2006,0;9;1;264;2,9;1;0;1;1;0;0;1;0;0,34;4;3;75,0;1,36;1,02;0,25;0,33;;;;;;;;;;;;;;0;7;5;3;3;1;1;;;0;0,345;0,0;1,379;0,345;0,345;1,034;2,414
Francisco Álvarez;ar ARG;DF;Arg Juniors;26-172;2000,0;20;20;1793;19,9;2;0;2;2;0;0;8;0;0,1;20;5;25,0;1,0;0,25;0,1;0,4;;;;;;;;;;;;;;0;20;12;0;8;39;24;;;0;0,101;0,0;1,005;1,96;1,206;0,402;1,005
Franco Amarfil;ar ARG;MF;Platense;25-159;2001,0;14;13;999;11,1;0;0;0;0;0;0;5;0;0,0;9;2;22,2;0,81;0,18;0,0;0,0;;;;;;;;;;;;;;0;24;8;0;9;16;21;;;0;0,0;0,0;0,811;1,441;1,892;0,811;2,162
Franco Armani;ar ARG;GK;River Plate;39-305;1986,0;1;1;45;0,5;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;1,0;2,0;3,0;2,0;66,7;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Franco Cervi;ar ARG;FWMF;Rosario Central;32-083;1994,0;1;0;20;0,2;0;0;0;0;0;0;1;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;2;1;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;10,0
Franco Cristaldo;ar ARG;MFFW;Talleres–C;30-002;1996,0;12;12;917;10,2;1;2;3;1;0;0;1;0;0,29;10;3;30,0;0,98;0,29;0,1;0,33;;;;;;;;;;;;;;0;8;13;0;41;1;9;;;0;0,098;0,196;0,98;0,098;0,882;4,02;0,784
Franco Dominguez;;FW;Estudiantes–LP;;;4;1;84;0,9;0;0;0;0;0;0;0;0;0,0;1;0;0,0;1,07;0,0;0,0;;;;;;;;;;;;;;;0;1;2;0;1;1;0;;;0;0,0;0,0;1,111;1,111;0,0;1,111;1,111
Franco Escobar;ar ARG;DF;Newell's;31-177;1995,0;5;3;282;3,1;0;0;0;0;0;0;1;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;4;6;1;2;3;7;;;0;0,0;0,0;0,0;0,968;2,258;0,645;1,29
Franco Fragapane;ar ARG;MF;Unión;33-192;1993,0;6;3;191;2,1;0;0;0;0;0;0;0;0;0,0;4;2;50,0;1,88;0,94;0,0;0,0;;;;;;;;;;;;;;0;4;4;0;10;1;0;;;0;0,0;0,0;1,905;0,476;0,0;4,762;1,905
Franco García;ar ARG;MFFW;Newell's;29-074;1997,0;8;2;224;2,5;1;0;1;1;0;0;0;0;0,4;4;1;25,0;1,61;0,4;0,25;1,0;;;;;;;;;;;;;;0;1;2;1;19;0;2;;;0;0,4;0,0;1,6;0,0;0,8;7,6;0,4
Franco Ibarra;ar ARG;MF;Rosario Central;25-111;2001,0;18;17;1550;17,2;0;0;0;0;0;0;7;0;0,0;11;1;9,1;0,64;0,06;0,0;0,0;;;;;;;;;;;;;;0;30;56;0;15;29;50;;;0;0,0;0,0;0,64;1,686;2,907;0,872;1,744
Franco Jara;ar ARG;FW;Instituto;38-033;1988,0;11;8;710;7,9;1;0;1;0;1;2;2;0;0,0;18;6;33,3;2,28;0,76;0,05;0,13;;;;;;;;;;;;;;0;13;15;2;3;2;4;;;0;0,127;0,0;2,278;0,253;0,506;0,38;1,646
Franco Leys;ar ARG;MF;Aldosivi;32-303;1993,0;11;4;504;5,6;0;0;0;0;0;0;1;0;0,0;2;1;50,0;0,36;0,18;0,0;0,0;;;;;;;;;;;;;;0;7;8;0;4;8;6;;;0;0,0;0,0;0,357;1,429;1,071;0,714;1,25
Franco Lorenzón;ar ARG;DF;CA San Lorenzo;25-151;2001,0;3;3;270;3,0;0;0;0;0;0;0;2;0;0,0;3;1;33,3;1,0;0,33;0,0;0,0;;;;;;;;;;;;;;0;3;0;0;0;4;4;;;0;0,0;0,0;1,0;1,333;1,333;0,0;1,0
Franco Minerva;ar ARG;MF;Platense;20-078;2006,0;1;0;26;0,3;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;0;0;3;0;1;;;0;0,0;0,0;0,0;0,0;3,333;10,0;3,333
Franco Moyano;ar ARG;MF;Instituto;28-338;1997,0;3;2;129;1,4;0;0;0;0;0;0;1;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;0;0;0;0;1;;;0;0,0;0,0;0,0;0,0;0,714;0,0;0,714
Franco Nicola;uy URU;MFFW;Atlé Tucumán;24-121;2002,0;18;14;1174;13,0;2;1;3;2;0;0;1;0;0,23;23;7;30,4;1,76;0,54;0,09;0,29;;;;;;;;;;;;;;0;22;23;0;58;5;15;;;0;0,154;0,077;1,769;0,385;1,154;4,462;1,692
Franco Orozco;ar ARG;FWMF;Newell's;24-220;2002,0;3;0;75;0,8;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;0;3;0;4;0;3;;;0;0,0;0,0;0,0;0,0;3,75;5,0;0,0
Franco Pardo;ar ARG;DF;Racing Club;29-134;1997,0;12;7;742;8,2;0;0;0;0;0;0;3;0;0,0;3;1;33,3;0,36;0,12;0,0;0,0;;;;;;;;;;;;;;0;6;6;0;0;7;5;;;0;0,0;0,0;0,366;0,854;0,61;0,0;0,732
Franco Paredes;ar ARG;DF;Arg Juniors;27-152;1999,0;2;2;108;1,2;0;0;0;0;0;0;1;0;0,0;1;0;0,0;0,83;0,0;0,0;;;;;;;;;;;;;;;0;1;2;0;2;2;0;;;0;0,0;0,0;0,833;1,667;0,0;1,667;0,833
Franco Petroli;ar ARG;GK;Lanús;28-067;1998,0;2;2;180;2,0;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;1,0;0,5;8,0;7,0;87,5;0,0;2,0;0,0;1,0;50,0;0,0;0,0;0,0;0;0;0;0;0;0;0;;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Franco Saavedra;ar ARG;DF;Gimnasia–M;22-349;2003,0;13;13;1024;11,4;0;1;1;0;0;0;2;2;0,09;10;1;10,0;0,88;0,09;0,0;0,0;;;;;;;;;;;;;;0;19;18;0;32;14;14;;;0;0,0;0,088;0,877;1,228;1,228;2,807;1,667
Franco Torres;ar ARG;MF;Gimnasia–LP;27-084;1999,0;18;5;605;6,7;3;0;3;3;0;0;4;0;0,45;17;7;41,2;2,53;1,04;0,18;0,43;;;;;;;;;;;;;;0;9;9;5;11;1;7;;;0;0,448;0,0;2,537;0,149;1,045;1,642;1,343
Franco Vázquez;ar ARG;DF;Arg Juniors;21-227;2005,0;3;3;270;3,0;0;0;0;0;0;0;0;0;0,0;5;2;40,0;1,67;0,67;0,0;0,0;;;;;;;;;;;;;;0;2;1;0;0;7;4;;;0;0,0;0,0;1,667;2,333;1,333;0,0;0,667
Franco Vázquez;ar ARG;MF;Belgrano;37-176;1989,0;18;16;1323;14,7;2;1;3;2;0;0;4;1;0,2;23;5;21,7;1,56;0,34;0,09;0,4;;;;;;;;;;;;;;0;21;36;5;18;11;23;;;0;0,136;0,068;1,565;0,748;1,565;1,224;1,429
Franco Watson;ar ARG;MFFW;Lanús;26-228;2000,0;13;7;523;5,8;0;0;0;0;0;0;1;0;0,0;15;4;26,7;2,58;0,69;0,0;0,0;;;;;;;;;;;;;;0;6;12;0;8;1;4;;;0;0,0;0,0;2,586;0,172;0,69;1,379;1,034
Franco Zapiola;ar ARG;MF;Platense;25-179;2001,0;19;15;1219;13,5;2;0;2;2;0;0;3;0;0,15;37;13;35,1;2,73;0,96;0,05;0,15;;;;;;;;;;;;;;0;12;24;3;59;11;6;;;0;0,148;0,0;2,741;0,815;0,444;4,37;0,889
Gabriel Alanís;ar ARG;MFFW;Estudiantes–RC;32-154;1994,0;17;13;1078;12,0;2;0;2;2;0;0;0;1;0,17;23;4;17,4;1,92;0,33;0,09;0,5;;;;;;;;;;;;;;0;10;10;3;35;9;9;;;0;0,167;0,0;1,917;0,75;0,75;2,917;0,833
Gabriel Arias;cl CHI;GK;Newell's;38-338;1987,0;7;7;612;6,8;0;0;0;0;0;0;1;0;0,0;0;0;;0,0;0,0;;;13,0;1,91;33,0;20,0;60,6;0,0;2,0;5,0;0,0;0,0;1,0;0,0;0,0;0;0;0;0;0;0;1;;;0;0,0;0,0;0,0;0,0;0,147;0,0;0,0
Gabriel Báez;ar ARG;DFMF;Talleres–C;31-027;1995,0;9;8;670;7,4;0;0;0;0;0;0;1;0;0,0;3;0;0,0;0,4;0,0;0,0;;;;;;;;;;;;;;;0;7;4;3;24;6;8;;;1;0,0;0,0;0,405;0,811;1,081;3,243;0,946
Gabriel Compagnucci;ar ARG;MFDF;Atlé Tucumán;34-353;1991,0;12;4;387;4,3;0;1;1;0;0;0;1;0;0,23;9;0;0,0;2,09;0,0;0,0;;;;;;;;;;;;;;;0;2;5;1;26;6;1;;;0;0,0;0,233;2,093;1,395;0,233;6,047;0,465
Gabriel Díaz;ar ARG;MFDF;Sarmiento–J;26-120;2000,0;9;5;393;4,4;0;0;0;0;0;0;2;1;0,0;2;1;50,0;0,46;0,23;0,0;0,0;;;;;;;;;;;;;;1;9;2;0;12;2;4;;;0;0,0;0,0;0,455;0,455;0,909;2,727;2,045
Gabriel Florentín;ar ARG;MF;Arg Juniors;27-157;1999,0;7;1;156;1,7;0;1;1;0;0;0;2;0;0,58;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;5;2;1;7;1;4;;;0;0,0;0,588;0,0;0,588;2,353;4,118;2,941
Gabriel Neves;uy URU;MF;Estudiantes–LP;29-006;1997,0;14;6;571;6,3;0;0;0;0;0;0;2;0;0,0;5;1;20,0;0,79;0,16;0,0;0,0;;;;;;;;;;;;;;0;4;1;0;10;8;19;;;0;0,0;0,0;0,794;1,27;3,016;1,587;0,635
Gabriel Obredor;ar ARG;FW;Dep. Riestra;29-223;1997,0;16;2;543;6,0;0;0;0;0;0;0;2;0;0,0;11;3;27,3;1,82;0,5;0,0;0,0;;;;;;;;;;;;;;0;17;8;7;21;3;6;;;0;0,0;0,0;1,833;0,5;1,0;3,5;2,833
Gabriel Risso Patrón;ar ARG;DF;Newell's;30-285;1995,0;4;3;285;3,2;0;0;0;0;0;0;0;0;0,0;0;0;;0,0;0,0;;;;;;;;;;;;;;;;0;1;2;0;4;3;0;;;0;0,0;0,0;0,0;0,938;0,0;1,25;0,312
Gabriel Rojas;ar ARG;DFMF;Racing Club;29-056;1997,0;12;12;1080;12,0;1;3;4;1;0;0;2;0;0,33;7;3;42,9;0,58;0,25;0,14;0,33;;;;;;;;;;;;;;0;11;11;2;106;12;9;;;0;0,083;0,25;0,583;1,0;0,75;8,833;0,917
Gabriel Ávalos;py PAR;FW;Independiente;35-309;1990,0;20;20;1772;19,7;10;5;15;8;2;2;2;0;0,66;51;14;27,5;2,59;0,71;0,19;0,63;;;;;;;;;;;;;;0;27;23;9;6;3;5;;;0;0,508;0,254;2,589;0,152;0,254;0,305;1,371
Gaspar Duarte;ar ARG;MFFW;Rosario Central;23-223;2003,0;11;5;415;4,6;0;0;0;0;0;0;1;0;0,0;10;2;20,0;2,17;0,43;0,0;0,0;;;;;;;;;;;;;;0;5;13;0;16;2;3;;;0;0,0;0,0;2,174;0,435;0,652;3,478;1,087
Gaston Arturia;ar ARG;DF;Sarmiento–J;26-292;1999,0;9;5;467;5,2;0;0;0;0;0;0;1;0;0,0;4;1;25,0;0,77;0,19;0,0;0,0;;;;;;;;;;;;;;0;10;4;0;0;7;6;;;0;0,0;0,0;0,769;1,346;1,154;0,0;1,923
Gaston Gonzalez;ar ARG;MF;Sarmiento–J;25-051;2001,0;5;0;76;0,8;0;1;1;0;0;0;0;0;1,18;3;1;33,3;3,55;1,18;0,0;0,0;;;;;;;;;;;;;;0;1;2;1;5;0;0;;;0;0,0;1,25;3,75;0,0;0,0;6,25;1,25
Gastón Benedetti;ar ARG;DF;Estudiantes–LP;25-141;2001,0;17;15;1357;15,1;0;2;2;0;0;0;5;0;0,13;6;0;0,0;0,4;0,0;0,0;;;;;;;;;;;;;;;0;17;6;0;38;16;20;;;0;0,0;0,132;0,397;1,06;1,325;2,517;1,126
Gastón Campi;ar ARG;DF;Barracas Central;35-133;1991,0;9;7;654;7,3;0;0;0;0;0;0;2;0;0,0;1;0;0,0;0,14;0,0;0,0;;;;;;;;;;;;;;;0;11;0;1;1;18;7;;;0;0,0;0,0;0,137;2,466;0,959;0,137;1,507
Gastón Hernández;ar ARG;DF;CA San Lorenzo;28-210;1998,0;9;9;798;8,9;0;0;0;0;0;0;2;0;0,0;2;0;0,0;0,23;0,0;0,0;;;;;;;;;;;;;;;0;8;10;0;1;18;17;;;0;0,0;0,0;0,225;2,022;1,91;0,112;0,899
Gastón Lodico;ar ARG;MF;Instituto;28-081;1998,0;15;14;1110;12,3;0;2;2;0;0;0;1;0;0,16;11;4;36,4;0,89;0,32;0,0;0,0;;;;;;;;;;;;;;0;5;16;0;89;9;10;;;0;0,0;0,163;0,894;0,732;0,813;7,236;0,407
Gastón Lodico;ar ARG;MF;Racing Club;28-081;1998,0;1;0;31;0,3;0;0;0;0;0;0;0;0;0,0;1;0;0,0;2,9;0,0;0,0;;;;;;;;;;;;;;;0;0;1;0;2;0;1;;;0;0,0;0,0;3,333;0,0;3,333;6,667;0,0
Gastón Martirena;uy URU;MFDF;Racing Club;26-224;2000,0;6;4;337;3,7;0;0;0;0;0;0;0;0;0,0;3;1;33,3;0,8;0,27;0,0;0,0;;;;;;;;;;;;;;0;7;4;2;23;5;5;;;0;0,0;0,0;0,811;1,351;1,351;6,216;1,892
Gastón Suso;ar ARG;DF;Atlé Tucumán;35-158;1991,0;16;16;1417;15,7;0;0;0;0;0;0;2;0;0,0;6;1;16,7;0,38;0,06;0,0;0,0;;;;;;;;;;;;;;0;11;8;1;0;20;16;;;0;0,0;0,0;0,382;1,274;1,019;0,0;0,701
